Quarter,State,Male,Female,TotalPopulation,NaturalIncrease,NetOverseasMigration,NetInterstateMigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,Queensland,2491065,2536478,5027543,6959,9596,4883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,South Australia,865891,885958,1751849,982,4319,-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,Tasmania,267586,272655,540241,237,1129,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,Victoria,3194683,3260293,6454976,8695,25574,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,Western Australia,1315762,1312359,2628121,4379,4361,-847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,Australian Capital Territory,212822,217936,430758,826,-76,1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,New South Wales,3976266,4027298,8003564,11402,18016,-7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,Northern Territory,126108,119812,245920,584,-363,-1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,Queensland,2499842,2546592,5046434,7181,5258,6954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,South Australia,867603,888112,1755715,1379,2531,-1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,Tasmania,268840,274087,542927,312,703,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,Victoria,3207192,3272503,6479695,9563,16506,2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,Western Australia,1319834,1316570,2636404,4612,3147,-1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,Australian Capital Territory,214268,219533,433801,886,1399,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,New South Wales,3991886,4041105,8032991,11985,26960,-6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,Northern Territory,126064,119952,246016,673,553,-888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,Queensland,2512158,2558148,5070306,7908,11294,5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,South Australia,871205,891684,1762889,1502,5171,-619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,Tasmania,270220,275583,545803,314,1026,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,Victoria,3227178,3291538,6518716,10210,30510,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,Western Australia,1326451,1323190,2649641,4644,6632,-453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,Australian Capital Territory,215222,220508,435730,820,227,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,New South Wales,3999452,4047296,8046748,10799,12025,-5774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,Northern Territory,126289,120270,246559,642,691,-546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,Queensland,2521333,2567514,5088847,7832,5601,5620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,South Australia,873494,893901,1767395,1108,3120,-836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,Tasmania,271197,276644,547841,221,327,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,Victoria,3236531,3300774,6537305,8719,12886,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,Western Australia,1331167,1328458,2659625,4410,3344,-194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,Australian Capital Territory,216702,221931,438633,914,1030,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,New South Wales,4011787,4059563,8071350,10026,23289,-5164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,Northern Territory,126004,120673,246677,597,4,-217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,Queensland,2531632,2578908,5110540,6416,10440,5598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,South Australia,876599,897407,1774006,1183,5081,-773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,Tasmania,272225,277722,549947,193,841,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,Victoria,3251565,3316333,6567898,8178,25930,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,Western Australia,1338200,1336046,2674246,4495,7901,-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
